@marcospile;SMarrocos40400;1347576993000;NULL;
@palmeiracamila;SMarrocos40400;1347628426000;NULL;
@SMarrocos40400;sandramarrocos;1347657008000;NULL;
@FernandoJoseCab;sandramarrocos;1347657367000;NULL;
@CHICRIBEIRO;sandra marrocos;1347657999000;NULL;
@SMarrocos40400;sandramarrocos;1347660299000;NULL;
@FrancioXavier;sandramarrocos;1347661780000;NULL;
@PAMELA_BORIO;sandra marrocos;1347666289000;NULL;
@NenemCAGEPA;sandra marrocos;1347666397000;NULL;
@PAMELA_BORIO;sandramarrocos;1347666421000;NULL;
@PAMELA_BORIO;sandra marrocos;1347666488000;NULL;
@FabioCosta36;sandra marrocos;1347667488000;NULL;
@PAMELA_BORIO;SMarrocos40400;1347670744000;NULL;
@mariogomesfilho;SMarrocos40400;1347670810000;NULL;
@FatocaAraujo;SMarrocos40400;1347675547000;NULL;
@FatocaAraujo;sandra marrocos;1347675940000;NULL;
@FatocaAraujo;sandramarrocos;1347675956000;NULL;
@jailsonfarma;SMarrocos40400;1347677563000;NULL;
@Tulhioserrano;sandramarrocos;1347679099000;NULL;
@alysonramosjp;SMarrocos40400;1347709184000;NULL;
@euvoumaiscomela;SMarrocos40400;1347724014000;NULL;
@euvoumaiscomela;sandramarrocos;1347724101000;NULL;
@SMarrocos40400;sandramarrocos;1347730654000;NULL;
@Tulhioserrano;SMarrocos40400;1347767408000;NULL;
@fikkumamoto;SMarrocos40400;1347796559000;NULL;
@gloriajeanjean;sandra marrocos;1347811251000;NULL;
@SMarrocos40400;sandra marrocos;1347811588000;NULL;
@luizafariass;sandra marrocos;1347816021000;NULL;
@gloriajeanjean;sandra marrocos;1347823519000;NULL;
@marcospile;SMarrocos40400;1347887236000;NULL;
@palmeiracamila;SMarrocos40400;1347898538000;NULL;
@karlyndamelo;SMarrocos40400;1347898706000;NULL;
@JeaneRodrigues;SMarrocos40400;1347899071000;NULL;
@SMarrocos40400;sandramarrocos;1347912085000;NULL;
@SMarrocos40400;sandramarrocos;1347912501000;NULL;
@VeronicaIsmael;SMarrocos40400;1347918270000;NULL;
@Jairofelix;sandramarrocos;1347968990000;NULL;
@sandramarrocos;sandramarrocos;1347969127000;NULL;
@filipefelix13;SMarrocos40400;1347972018000;NULL;
@SMarrocos40400;sandramarrocos;1347972102000;NULL;
@moreira_ricardo;sandramarrocos;1347972733000;NULL;
@SMarrocos40400;sandramarrocos;1347973007000;NULL;
@moreira_ricardo;sandramarrocos;1347973033000;NULL;
@VeronicaIsmael;sandramarrocos;1347975230000;NULL;
@hyldinho;sandra marrocos;1347975391000;NULL;
@leandroconexao;sandra marrocos;1347975492000;NULL;
@kalinavt;sandra marrocos;1347976253000;NULL;
@Claudiacrvlh;sandramarrocos;1347976525000;NULL;
@Ceissa_Med;sandramarrocos;1347976874000;NULL;
@camarajp;sandra marrocos;1347977166000;NULL;
@Claudiacrvlh;sandramarrocos;1347977423000;NULL;
@hyldinho;sandra marrocos;1347978437000;NULL;
@marcelomello45;sandra marrocos;1347978524000;NULL;
@JorgeRezendepb;SMarrocos40400;1347979220000;NULL;
@wscom;sandra marrocos;1347980348000;NULL;
@PhCaldas;sandra marrocos;1347982602000;NULL;
@VozDaParaiba;sandra marrocos;1347982628000;NULL;
@AlexGGPimentel;sandra marrocos;1347982705000;NULL;
@Iedo_Ferreira;sandra marrocos;1347982786000;NULL;
@RangelJuniorJP;sandra marrocos;1347982869000;NULL;
@DrValterPaiva;sandra marrocos;1347983817000;NULL;
@fatinhapessoa;sandra marrocos;1347983836000;NULL;
@Iedo_Ferreira;sandra marrocos;1347985004000;NULL;
@Iedo_Ferreira;sandra marrocos;1347985187000;NULL;
@PolemicaParaiba;sandra marrocos;1347985342000;NULL;
@PolemicaParaiba;sandra marrocos;1347985542000;NULL;
@Iedo_Ferreira;sandra marrocos;1347985991000;NULL;
@D0_BEM;sandramarrocos;1347987351000;NULL;
@D0_BEM;sandramarrocos;1347987378000;NULL;
@marcosweric;sandra marrocos;1347991495000;NULL;
@Iedo_Ferreira;sandra marrocos;1347999766000;NULL;
@Iedo_Ferreira;sandra marrocos;1348001291000;NULL;
@Iedo_Ferreira;sandra marrocos;1348001459000;NULL;
@EugenioFDias;sandra marrocos;1348001681000;NULL;
@horadorushpb;sandra marrocos;1348003180000;NULL;
@horadorushpb;sandra marrocos;1348003260000;NULL;
@jaimeduprado;sandra marrocos;1348003881000;NULL;
@Iedo_Ferreira;sandra marrocos;1348004142000;NULL;
@JubisPaiva;sandramarrocos;1348006911000;NULL;
@SMarrocos40400;sandramarrocos;1348006993000;NULL;
@SMarrocos40400;sandramarrocos;1348007384000;NULL;
@SMarrocos40400;sandramarrocos;1348007533000;NULL;
@zazoeira;SMarrocos40400;1348009403000;NULL;
@zazoeira;SMarrocos40400;1348009457000;NULL;
@nedludd25;sandra marrocos;1348010229000;NULL;
@Iedo_Ferreira;sandra marrocos;1348048017000;NULL;
@Iedo_Ferreira;sandra marrocos;1348049488000;NULL;
@SMarrocos40400;SMarrocos40400;1348054910000;NULL;
@Iedo_Ferreira;sandra marrocos;1348070137000;NULL;
@Iedo_Ferreira;sandra marrocos;1348071387000;NULL;
@Iedo_Ferreira;sandra marrocos;1348072343000;NULL;
@Iedo_Ferreira;sandra marrocos;1348089038000;NULL;
@gloriajeanjean;sandra marrocos;1348150393000;NULL;
@SMarrocos40400;sandramarrocos;1348177636000;NULL;
@herbertfitipald;sandramarrocos;1348177754000;NULL;
@FrancioXavier;sandramarrocos;1348179656000;NULL;
@marcospile;sandramarrocos;1348179838000;NULL;
@FrancioXavier;sandramarrocos;1348180341000;NULL;
@PAMELA_BORIO;sandramarrocos;1348182518000;NULL;
@annafagulha;sandramarrocos;1348182705000;NULL;
@herbertfitipald;sandramarrocos;1348182840000;NULL;
@mventurafatima;sandramarrocos;1348183564000;NULL;
@FrancioXavier;sandramarrocos;1348222802000;NULL;
@Xerxes_Gouveia;SMarrocos40400;1348242195000;NULL;
